cobertura,OBJECTID_1,ID,IDH,layer,b2,b3,b4,b5,b6,b7,b8,b9,system:index,b1
pastoreo,356,,8,12_pastoreo_val_subset,0.06804914,0.035163943,0.55791855,0.19890022,0.088301525,0.8814197,0.78257936,0.7173584,151_0,0.032265563
pastoreo,366,,8,12_pastoreo_val_subset,0.06464762,0.04163852,0.51357365,0.18479916,0.08453873,0.8500086,0.7763914,0.6708629,153_0,0.03048979
primario,13,,9,13_primario_val,0.031055508,0.027663909,0.21358398,0.114655145,0.05469938,0.77065986,0.74611205,0.37623054,154_0,0.018500466
primario,35,,9,13_primario_val,0.038248383,0.025991566,0.30603737,0.12440093,0.0550972,0.84343797,0.7778103,0.5048727,156_0,0.01823918
primario,85,,9,13_primario_val,0.059544917,0.04934233,0.4093734,0.19279952,0.09399977,0.7848675,0.7460329,0.5633021,157_0,0.034285504
primario,87,,9,13_primario_val,0.1301284,0.14763637,0.19594799,0.22783211,0.20774181,0.14061065,0.20185329,0.08590419,159_0,0.09949778
primario,88,,9,13_primario_val,0.042020764,0.032306284,0.35255122,0.15013202,0.068559915,0.832113,0.78700584,0.54287547,160_0,0.022612548
primario,143,,9,13_primario_val,0.03680897,0.027076764,0.24404006,0.11721639,0.055095725,0.80025756,0.7378736,0.42204362,161_0,0.019858006
primario,159,,9,13_primario_val,0.032689385,0.020170433,0.2654257,0.08417867,0.03943713,0.85874856,0.7806929,0.46828502,162_0,0.013873864
primario,232,,9,13_primario_val,0.03266716,0.020521393,0.3087301,0.11415612,0.044715464,0.8753452,0.8086267,0.5213292,163_0,0.017092125
primario,233,,9,13_primario_val,0.033863295,0.018650359,0.34183902,0.11164129,0.042868394,0.8965275,0.8197334,0.56338054,164_0,0.01679064
primario,236,,9,13_primario_val,0.03199037,0.024306864,0.29313576,0.12216933,0.059182562,0.8468582,0.8032125,0.49329865,165_0,0.019278351
primario,254,,9,13_primario_val,0.031548925,0.019475585,0.3359193,0.10816267,0.04188729,0.8904003,0.82829034,0.5549081,166_0,0.017782861
primario,257,,9,13_primario_val,0.041896727,0.029326405,0.32239044,0.11878164,0.051972743,0.83323854,0.76997966,0.5161293,167_0,0.018699963
primario,258,,9,13_primario_val,0.03607655,0.023458889,0.3131709,0.11555799,0.04809293,0.860625,0.7934041,0.5194269,168_0,0.01649913
primario,261,,9,13_primario_val,0.029343657,0.018024271,0.36496428,0.09960371,0.035249725,0.9058757,0.85116374,0.58937347,169_0,0.012203473
primario,271,,9,13_primario_val,0.0248312,0.015803276,0.24211733,0.074591294,0.032856144,0.87745625,0.81396264,0.44789794,170_0,0.010542684
primario,279,,9,13_primario_val,0.028160438,0.018046718,0.24735437,0.078122415,0.036564294,0.8640042,0.7955795,0.44938725,172_0,0.012925234
primario,281,,9,13_primario_val,0.037769843,0.027357342,0.2815478,0.11609221,0.052384526,0.82287544,0.76343405,0.4713602,173_0,0.01734226
primario,288,,9,13_primario_val,0.032720212,0.024774075,0.24704966,0.106524825,0.051124047,0.8177196,0.76609194,0.43198124,174_0,0.01579072
primario,372,,9,13_primario_val,0.027110947,0.01768977,0.25195307,0.08135897,0.036060683,0.8687911,0.8057009,0.45656884,176_0,0.01188988
primario,373,,9,13_primario_val,0.040154405,0.028983716,0.43026236,0.16784386,0.06834271,0.873777,0.82928157,0.6274907,177_0,0.022619871
primario,374,,9,13_primario_val,0.024134787,0.016038155,0.251248,0.07590767,0.031816915,0.8799926,0.82471824,0.45982164,178_0,0.011676784
primario,376,,9,13_primario_val,0.035023022,0.025357736,0.35031,0.12665528,0.053259727,0.8649991,0.8182195,0.5566362,180_0,0.016836978
primario,377,,9,13_primario_val,0.033761162,0.0242912,0.2669272,0.11626027,0.050793044,0.83317536,0.7754409,0.45999184,181_0,0.019721687
primario,379,,9,13_primario_val,0.038346857,0.028420342,0.29277614,0.12068255,0.056522664,0.8230345,0.768383,0.4828731,183_0,0.016108502
primario,380,,9,13_primario_val,0.031131126,0.021574592,0.29848048,0.117643245,0.04704673,0.865182,0.8111042,0.50650114,184_0,0.017726364
primario,381,,9,13_primario_val,0.031506773,0.021360504,0.27417466,0.10415198,0.04560992,0.85544527,0.79385877,0.47668695,185_0,0.015807094
primario,382,,9,13_primario_val,0.03810509,0.02444611,0.39384508,0.1318679,0.055279598,0.8831144,0.8235672,0.6034017,186_0,0.019578319
primario,383,,9,13_primario_val,0.02894579,0.01984581,0.29145586,0.10794456,0.043706343,0.8724979,0.8193156,0.5021746,187_0,0.0151215475
primario,384,,9,13_primario_val,0.03342959,0.020646548,0.3448735,0.09381662,0.041453756,0.8870292,0.82326555,0.56190544,188_0,0.015197714
primario,385,,9,13_primario_val,0.025531828,0.015704691,0.24215598,0.07137106,0.03236121,0.8781924,0.8092418,0.448205,189_0,0.011547168
primario,387,,9,13_primario_val,0.029933281,0.018290065,0.3180982,0.08271048,0.038191613,0.8912562,0.8279852,0.53768355,191_0,0.012552314
primario,388,,9,13_primario_val,0.023851983,0.014299091,0.2706205,0.06946264,0.028368168,0.8996272,0.83800197,0.4898363,192_0,0.010612269
primario,390,,9,13_primario_val,0.038421232,0.023662979,0.31970164,0.12337336,0.05319671,0.86217,0.7854299,0.52653146,193_0,0.02136559
primario,392,,9,13_primario_val,0.032337595,0.02437214,0.29970542,0.11427049,0.047354218,0.8495907,0.8052204,0.50116634,195_0,0.017681198
primario,393,,9,13_primario_val,0.03066361,0.021025667,0.21895662,0.094836794,0.041766737,0.8247732,0.75431794,0.401221,196_0,0.0141483145
primario,394,,9,13_primario_val,0.05674479,0.045767523,0.23593506,0.10172493,0.054325342,0.6750649,0.61223984,0.36491027,197_0,0.049495105
primario,395,,9,13_primario_val,0.032719996,0.022714676,0.30290788,0.119087964,0.049835972,0.8604846,0.8050222,0.50905806,198_0,0.017512374
primario,396,,9,13_primario_val,0.029304467,0.019106057,0.23910204,0.10441036,0.044904087,0.85201037,0.7816411,0.43522877,199_0,0.014732742
primario,397,,9,13_primario_val,0.016985545,0.008278303,0.14301638,0.04414996,0.021420278,0.8905672,0.78768325,0.31031594,200_0,0.0070996135
primario,398,,9,13_primario_val,0.0164282,0.011183455,0.13943736,0.04685308,0.020220304,0.8515019,0.78920037,0.29568815,201_0,0.010303909
primario,399,,9,13_primario_val,0.021183016,0.01383137,0.18694498,0.0709185,0.030490598,0.8622211,0.7964424,0.37054676,202_0,0.012898244
primario,400,,9,13_primario_val,0.022940917,0.013084984,0.22495182,0.09409871,0.036162384,0.8900592,0.81491256,0.43060216,203_0,0.01631589
primario,401,,9,13_primario_val,0.028852262,0.019088263,0.25921363,0.08519384,0.036103927,0.8628233,0.7996829,0.46278706,204_0,0.012827532
primario,402,,9,13_primario_val,0.032962885,0.021406163,0.30911836,0.101642296,0.043409508,0.87047154,0.80728036,0.5196334,205_0,0.013638843
primario,403,,9,13_primario_val,0.032906268,0.02417949,0.27217197,0.11719045,0.051064424,0.8368188,0.78427655,0.46711627,206_0,0.017187024
primario,404,,9,13_primario_val,0.03938403,0.025155665,0.40399662,0.14625022,0.056286886,0.88276577,0.8223466,0.6115913,207_0,0.01961301
primario,406,,9,13_primario_val,0.026103955,0.016021729,0.23906885,0.09337634,0.040161025,0.874384,0.8031174,0.44308683,209_0,0.013998527
primario,407,,9,13_primario_val,0.03452179,0.022855274,0.3534443,0.12838347,0.051137257,0.87852615,0.8220371,0.5658836,210_0,0.019729078
primario,408,,9,13_primario_val,0.048003957,0.033623952,0.49615785,0.14681937,0.066112146,0.8730649,0.82356733,0.6737358,211_0,0.018287033
primario,0,,9,13_primario_val,0.036328774,0.025033323,0.30440795,0.09855535,0.040547315,0.84802556,0.78676337,0.505234,212_0,0.027114287
primario,0,,9,13_primario_val,0.020685503,0.013038103,0.25151756,0.06963904,0.027225962,0.90143394,0.8480142,0.46787855,213_0,0.010733088
primario,0,,9,13_primario_val,0.026716024,0.016691186,0.26963812,0.095513806,0.039179534,0.88341266,0.819702,0.482521,214_0,0.012106522
